縣市名稱,測站名稱,經度,緯度,高度,創站日期(~截止日期),地址,下載網址1(不含日期),下載網址2(高度)
臺北市 (TaipeiCity),石牌 (Shipai),121.5131,25.1155,35m,2019/09/10~,臺北市北投區石牌路一段139號(石牌國中自強樓頂樓),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AI40&stname=%25E7%259F%25B3%25E7%2589%258C&datepicker=,&altitude=35m
臺北市 (TaipeiCity),大屯山 (Datunshan),121.5224,25.1756,1079m,2005/11/25~,臺北市北投區湖田段461-6地號(民航局大屯山助航臺),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AC40&stname=%25E5%25A4%25A7%25E5%25B1%25AF%25E5%25B1%25B1&datepicker=,&altitude=1079m
臺北市 (TaipeiCity),信義 (Xinyi),121.5645,25.0378,71m,2009/03/31~,臺北市信義區市府路1號(台北市政府頂樓),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AC70&stname=%25E4%25BF%25A1%25E7%25BE%25A9&datepicker=,&altitude=71m
臺北市 (TaipeiCity),文山 (Wenshan),121.5757,25.0023,40m,2009/12/01~,臺北市文山區木柵路4段159巷14-1號(博嘉國小校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AC80&stname=%25E6%2596%2587%25E5%25B1%25B1&datepicker=,&altitude=40m
臺北市 (TaipeiCity),關渡 (Guandu),121.4693,25.1334,111m,1992/02/27~,臺北市北投區學園路2號(臺北城市科技大學校園內5樓頂),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1AC50&stname=%25E9%2597%259C%25E6%25B8%25A1&datepicker=,&altitude=111m
臺北市 (TaipeiCity),國三N016K (Freeway No. 3 N016K),121.6196,25.0341,64m,2021/01/26~,臺北市國道3號北向16.51K,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1AI50&stname=%25E5%259C%258B%25E4%25B8%2589N016K&datepicker=,&altitude=64m
臺北市 (TaipeiCity),公館 (Gongguan) (撤銷站),121.5395,25.0143,22m,1987/05/01~2019/08/07,臺北市大安區羅斯福路四段1號(臺灣大學大氣科學系觀測坪內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1A730&stname=%25E5%2585%25AC%25E9%25A4%25A8&datepicker=,&altitude=22m
臺北市 (TaipeiCity),南港 (Nangang) (撤銷站),121.6029,25.0554,42m,1997/08/21~2018/06/07,臺北市南港區興南路62號(東新國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9G0&stname=%25E5%258D%2597%25E6%25B8%25AF&datepicker=,&altitude=42m
臺北市 (TaipeiCity),士林 (Shihlin) (撤銷站),121.5030,25.0902,26m,1997/08/21~2021/12/24,臺北市士林區延平北路6段308號(社子國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9E0&stname=%25E5%25A3%25AB%25E6%259E%2597&datepicker=,&altitude=26m
臺北市 (TaipeiCity),大崙尾山 (Dalunweishan) (撤銷站),121.5735,25.1062,463m,1997/09/01~2016/06/17,臺北市內湖區大崙尾山(內雙溪森林公園),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A990&stname=%25E5%25A4%25A7%25E5%25B4%2599%25E5%25B0%25BE%25E5%25B1%25B1&datepicker=,&altitude=463m
臺北市 (TaipeiCity),大直 (Dazhi) (撤銷站),121.5428,25.0780,24m,1997/09/01~2020/08/19,臺北市中山區北安路420號(大直高中內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9A0&stname=%25E5%25A4%25A7%25E7%259B%25B4&datepicker=,&altitude=24m
臺北市 (TaipeiCity),石牌 (Shipai) (撤銷站),121.5138,25.1163,7m,1997/08/16~2019/09/09,臺北市北投區石牌路1段139號(石牌國中內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9B0&stname=%25E7%259F%25B3%25E7%2589%258C&datepicker=,&altitude=7m
新北市 (NewTaipeiCity),板橋 (BANQIAO) (撤銷站),121.4420,24.9976,9.7m,1972/03/01~,新北市板橋區大觀路二段265巷62號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466880&stname=%25E6%259D%25BF%25E6%25A9%258B&datepicker=,&altitude=9.7m
新北市 (NewTaipeiCity),新北 (New Taipei),121.5200,24.9593,24.06m,2023/1/1~,新北市新店區莒光路29號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466881&stname=%25E6%2596%25B0%25E5%258C%2597&datepicker=,&altitude=24.06m
新北市 (NewTaipeiCity),淡水 (TAMSUI),121.4489,25.1648,19.0m,1942/01/01~,新北市淡水區中正東路42巷6號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466900&stname=%25E6%25B7%25A1%25E6%25B0%25B4&datepicker=,&altitude=19.0m
新北市 (NewTaipeiCity),山佳 (Shanjia),121.4020,24.9749,48m,1987/05/01~,新北市樹林區中山路3段5號(山佳國民小學校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A520&stname=%25E5%25B1%25B1%25E4%25BD%25B3&datepicker=,&altitude=48m
新北市 (NewTaipeiCity),坪林 (Pinglin),121.7097,24.9381,300m,1987/05/01~,新北市坪林區,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A530&stname=%25E5%259D%25AA%25E6%259E%2597&datepicker=,&altitude=300m
新北市 (NewTaipeiCity),四堵 (Sihdu),121.7457,24.8926,401m,1987/05/01~,新北市坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A540&stname=%25E5%259B%259B%25E5%25A0%25B5&datepicker=,&altitude=401m
新北市 (NewTaipeiCity),泰平 (Taiping),121.8237,24.9711,422m,1987/05/01~,新北市雙溪區泰平里8鄰大平路43號(泰平國小分校附近),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A550&stname=%25E6%25B3%25B0%25E5%25B9%25B3&datepicker=,&altitude=422m
新北市 (NewTaipeiCity),福山 (Fushan),121.5028,24.7762,405m,1987/05/01~,新北市烏來區福山里李茂岸八號(福山國小旁),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A560&stname=%25E7%25A6%258F%25E5%25B1%25B1&datepicker=,&altitude=405m
新北市 (NewTaipeiCity),桶後 (Tonghou),121.5979,24.8482,360m,1987/05/01~,新北市烏來區后桶街49號孝義里5-6k處路旁,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A570&stname=%25E6%25A1%25B6%25E5%25BE%258C&datepicker=,&altitude=360m
新北市 (NewTaipeiCity),石碇 (Shihding),121.6629,24.9939,241m,2009/12/01~,新北市石碇區湳窟34號附近,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A640&stname=%25E7%259F%25B3%25E7%25A2%2587&datepicker=,&altitude=241m
新北市 (NewTaipeiCity),火燒寮 (Huoshaoliao),121.7428,25.0027,287m,2009/12/01~,新北市平溪區東勢里,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A650&stname=%25E7%2581%25AB%25E7%2587%2592%25E5%25AF%25AE&datepicker=,&altitude=287m
新北市 (NewTaipeiCity),瑞芳 (Rueifang),121.8011,25.1131,97m,2009/12/01~,新北市瑞芳區22403龍山里逢甲路360號(義方國民小學校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A660&stname=%25E7%2591%259E%25E8%258A%25B3&datepicker=,&altitude=97m
新北市 (NewTaipeiCity),三和 (Sanhe),121.5952,25.2331,216m,2014/04/01~,新北市金山區三和國小兩湖分校,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A931&stname=%25E4%25B8%2589%25E5%2592%258C&datepicker=,&altitude=216m
新北市 (NewTaipeiCity),金山 (Jinshan),121.6439,25.2236,49m,1994/08/29~,新北市金山區中興段404地號(磺港社區活動中心內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A940&stname=%25E9%2587%2591%25E5%25B1%25B1&datepicker=,&altitude=49m
新北市 (NewTaipeiCity),鼻頭角 (Bitoujiao),121.9233,25.1290,60m,1994/08/29~,新北市瑞芳區鼻頭角燈塔旁,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A950&stname=%25E9%25BC%25BB%25E9%25A0%25AD%25E8%25A7%2592&datepicker=,&altitude=60m
新北市 (NewTaipeiCity),三貂角 (Sandiaojiao),122.0020,25.0076,96m,1995/06/08~,新北市貢寮區三貂角燈塔旁,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A970&stname=%25E4%25B8%2589%25E8%25B2%2582%25E8%25A7%2592&datepicker=,&altitude=96m
新北市 (NewTaipeiCity),大坪 (Daping),121.6329,25.1659,362m,1993/06/04~,新北市萬里區溪底里香員林6-3號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A860&stname=%25E5%25A4%25A7%25E5%259D%25AA&datepicker=,&altitude=362m
新北市 (NewTaipeiCity),五指山 (Wujhihshan),121.6086,25.1321,685m,1993/08/20~,新北市汐止區國軍示範公墓旁之復興廣播電台門口外,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A870&stname=%25E4%25BA%2594%25E6%258C%2587%25E5%25B1%25B1&datepicker=,&altitude=685m
新北市 (NewTaipeiCity),福隆 (Fulong),121.9420,25.0178,6m,1993/06/30~,新北市貢寮區東北角海岸國家風景管理處之福隆遊客中心後方,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A880&stname=%25E7%25A6%258F%25E9%259A%2586&datepicker=,&altitude=6m
新北市 (NewTaipeiCity),雙溪 (Shuangsi),121.8642,25.0360,40m,1993/06/30~,新北市雙溪區雙溪里社區活動中心旁花圃內,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A890&stname=%25E9%259B%2599%25E6%25BA%25AA&datepicker=,&altitude=40m
新北市 (NewTaipeiCity),富貴角 (Fugueijiao),121.5652,25.2637,196m,1994/10/19~,新北市石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A920&stname=%25E5%25AF%258C%25E8%25B2%25B4%25E8%25A7%2592&datepicker=,&altitude=196m
新北市 (NewTaipeiCity),汐止 (Xizhi),121.6587,25.0668,38m,2011/08/08~,新北市汐止區大同路二段394號(汐止國中),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH00&stname=%25E6%25B1%2590%25E6%25AD%25A2&datepicker=,&altitude=38m
新北市 (NewTaipeiCity),永和 (Yonghe),121.5081,25.0112,30m,2013/12/24~,新北市永和區永平路205號(永平高中校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH10&stname=%25E6%25B0%25B8%25E5%2592%258C&datepicker=,&altitude=30m
新北市 (NewTaipeiCity),五分山 (Wufengshan),121.7807,25.0712,755m,2015/10/08~,新北市瑞芳區靜安路四段1巷1號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH30&stname=%25E4%25BA%2594%25E5%2588%2586%25E5%25B1%25B1&datepicker=,&altitude=755m
新北市 (NewTaipeiCity),林口 (Linkou),121.3808,25.0721,275m,2017/01/04~,新北市林口區仁愛路二段173號(林口高中內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH50&stname=%25E6%259E%2597%25E5%258F%25A3&datepicker=,&altitude=275m
新北市 (NewTaipeiCity),深坑 (Shenkeng),121.6283,25.0027,68m,2017/08/02~,新北市深坑區文山路1段35號(深坑消防分隊樓頂),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH80&stname=%25E6%25B7%25B1%25E5%259D%2591&datepicker=,&altitude=68m
新北市 (NewTaipeiCity),福山植物園 (Fushan Botanical Garden),121.5813,24.7607,660m,2018/03/23~,新北市烏來區福山植物園內(生活植物區之民俗植物區觀測坪),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH90&stname=%25E7%25A6%258F%25E5%25B1%25B1%25E6%25A4%258D%25E7%2589%25A9%25E5%259C%2592&datepicker=,&altitude=660m
新北市 (NewTaipeiCity),五股 (Wugu),121.4272,25.0744,188m,2018/07/10~,新北市五股區外寮路12號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AI00&stname=%25E4%25BA%2594%25E8%2582%25A1&datepicker=,&altitude=188m
新北市 (NewTaipeiCity),屈尺 (Quchi),121.5447,24.9218,76m,2018/11/20~,新北市新店區屈尺路83號(衛福部北區老人之家),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AI10&stname=%25E5%25B1%2588%25E5%25B0%25BA&datepicker=,&altitude=76m
新北市 (NewTaipeiCity),白沙灣 (Baishawan),121.5190,25.2831,25m,2018/11/28~,新北市石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AI20&stname=%25E7%2599%25BD%25E6%25B2%2599%25E7%2581%25A3&datepicker=,&altitude=25m
新北市 (NewTaipeiCity),三重 (Sanchong),121.5006,25.0573,26m,2019/08/02~,新北市三重區環河南路100號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AI30&stname=%25E4%25B8%2589%25E9%2587%258D&datepicker=,&altitude=26m
新北市 (NewTaipeiCity),澳底 (AODI),121.9272,25.0571,20m,2022/3/9~,新北市貢寮區新港街128號(澳底第16海巡隊樓頂),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ10&stname=%25E6%25BE%25B3%25E5%25BA%2595&datepicker=,&altitude=20m
新北市 (NewTaipeiCity),野柳 (YEHLIOU),121.6900,25.2070,50m,2022/3/9~,新北市萬里區野柳村151-1號(野柳守望哨雷達塔),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ20&stname=%25E9%2587%258E%25E6%259F%25B3&datepicker=,&altitude=50m
新北市 (NewTaipeiCity),淡水觀海 (DANSHUEI GUANHAI),121.4086,25.1845,22m,2022/3/9~,新北市淡水區觀海路251號(淡水第2海巡隊樓頂),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ30&stname=%25E6%25B7%25A1%25E6%25B0%25B4%25E8%25A7%2580%25E6%25B5%25B7&datepicker=,&altitude=22m
新北市 (NewTaipeiCity),石門 (SHIMEN),121.6011,25.2736,154m,2022/3/9~,新北市石門區草里里草埔尾5號(黃金海岸高爾夫球場),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ40&stname=%25E7%259F%25B3%25E9%2596%2580&datepicker=,&altitude=154m
新北市 (NewTaipeiCity),水湳洞 (SHUINANDONG),121.8622,25.1236,30m,2022/3/9~,新北市瑞芳區水湳洞段00197-000建號(水湳洞犬區隊),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ50&stname=%25E6%25B0%25B4%25E6%25B9%25B3%25E6%25B4%259E&datepicker=,&altitude=30m
新北市 (NewTaipeiCity),六塊厝 (Lioukuaitsuo),121.4481,25.2400,13m,2022/12/26~,新北市淡水區,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ60&stname=%25E5%2585%25AD%25E5%25A1%258A%25E5%258E%259D&datepicker=,&altitude=13m
新北市 (NewTaipeiCity),田寮 (Tianliao),121.4886,25.2698,21m,2022/12/26~,新北市三芝區古庄里83之1號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AJ70&stname=%25E7%2594%25B0%25E5%25AF%25AE&datepicker=,&altitude=21m
新北市 (NewTaipeiCity),三峽 (Sanshia),121.3697,24.9390,55m,2009/04/09~,新北市三峽區復興路238號(三峽國中校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AC60&stname=%25E4%25B8%2589%25E5%25B3%25BD&datepicker=,&altitude=55m
新北市 (NewTaipeiCity),新莊 (Xinzhuang),121.4467,25.0514,25m,2009/12/01~,新北市新莊區中和街193號(榮富國小校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0ACA0&stname=%25E6%2596%25B0%25E8%258E%258A&datepicker=,&altitude=25m
新北市 (NewTaipeiCity),三芝 (Sanzhi),121.5019,25.2581,86m,2009/08/25~,新北市三芝區育英路22號(三芝國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD00&stname=%25E4%25B8%2589%25E8%258A%259D&datepicker=,&altitude=86m
新北市 (NewTaipeiCity),八里 (Bali),121.4039,25.1502,27m,2009/08/19~,新北市八里區中山路二段338號(八里國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD10&stname=%25E5%2585%25AB%25E9%2587%258C&datepicker=,&altitude=27m
新北市 (NewTaipeiCity),蘆洲 (Lujhou),121.4723,25.0865,20m,2009/09/01~,新北市蘆洲區三民路96號(三民高中內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD30&stname=%25E8%2598%2586%25E6%25B4%25B2&datepicker=,&altitude=20m
新北市 (NewTaipeiCity),土城 (Tucheng),121.4451,24.9732,32m,2009/09/05~,新北市土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD40&stname=%25E5%259C%259F%25E5%259F%258E&datepicker=,&altitude=32m
新北市 (NewTaipeiCity),鶯歌 (Yingge),121.3462,24.9515,84m,2009/09/03~,新北市鶯歌區尖山埔路106號(鶯歌國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD50&stname=%25E9%25B6%25AF%25E6%25AD%258C&datepicker=,&altitude=84m
新北市 (NewTaipeiCity),中和 (Zhonghe),121.4917,24.9916,48m,2021/10/18~,新北市中和區錦和路163號(錦和高中內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AG80&stname=%25E4%25B8%25AD%25E5%2592%258C&datepicker=,&altitude=48m
新北市 (NewTaipeiCity),下盆 (Siapen),121.5386,24.7710,527m,1987/05/01~,新北市烏來區東勢溪中游(步行一小時),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1A630&stname=%25E4%25B8%258B%25E7%259B%2586&datepicker=,&altitude=527m
新北市 (NewTaipeiCity),石碇服務區 (Shiding Service Area),121.6462,25.0087,92m,2021/10/2~,新北市新北市石碇區文山路一段2號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1A750&stname=%25E7%259F%25B3%25E7%25A2%2587%25E6%259C%258D%25E5%258B%2599%25E5%258D%2580&datepicker=,&altitude=92m
新北市 (NewTaipeiCity),坪林交控 (Pinglin Traffic Control Center),121.7134,24.9428,217m,2021/10/2~,新北市新北市坪林區坪雙路一段52號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1A760&stname=%25E5%259D%25AA%25E6%259E%2597%25E4%25BA%25A4%25E6%258E%25A7&datepicker=,&altitude=217m
新北市 (NewTaipeiCity),四十份 (Sihshihfen),121.5932,24.9341,435m,2000/06/01~,新北市新店區北宜路旁(文山事業區第四林班),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1A9N0&stname=%25E5%259B%259B%25E5%258D%2581%25E4%25BB%25BD&datepicker=,&altitude=435m
新北市 (NewTaipeiCity),國一N039K (Freeway No. 1 N039K),121.3838,25.0643,181m,2021/01/26~,新北市國道1號北向39.32K,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C1AI60&stname=%25E5%259C%258B%25E4%25B8%2580N039K&datepicker=,&altitude=181m
新北市 (NewTaipeiCity),中和 (Zhonghe) (撤銷站),121.4904,24.9926,25m,2011/07/23~2021/08/03,新北市中和區錦和路350號(錦和運動公園),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AG90&stname=%25E4%25B8%25AD%25E5%2592%258C&datepicker=,&altitude=25m
新北市 (NewTaipeiCity),深坑 (Shenkeng) (撤銷站),121.6175,25.0013,57m,2009/08/14~2017/07/15,新北市深坑區文化街45號(深坑國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AD20&stname=%25E6%25B7%25B1%25E5%259D%2591&datepicker=,&altitude=57m
新北市 (NewTaipeiCity),中和 (Zhonghe) (撤銷站),121.5160,24.9901,32m,2009/02/11~2011/07/22,新北市中和區景新街467巷37號(景新國小校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AC90&stname=%25E4%25B8%25AD%25E5%2592%258C&datepicker=,&altitude=32m
新北市 (NewTaipeiCity),三重 (Sanchong) (撤銷站),121.4884,25.0640,18m,1997/08/16~2010/09/29,新北市三重區中正北路107號(明志國中校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9I0&stname=%25E4%25B8%2589%25E9%2587%258D&datepicker=,&altitude=18m
新北市 (NewTaipeiCity),永和 (Yonghe) (撤銷站),121.5047,25.0089,13m,1997/09/01~2013/12/03,新北市永和區保生路25號(永平國民小學校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9D0&stname=%25E6%25B0%25B8%25E5%2592%258C&datepicker=,&altitude=13m
新北市 (NewTaipeiCity),三和 (Sanhe) (撤銷站),121.5940,25.2348,200m,1994/08/31~2014/03/20,新北市金山區兩湖里(距兩湖分校約300公尺),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A930&stname=%25E4%25B8%2589%25E5%2592%258C&datepicker=,&altitude=200m
新北市 (NewTaipeiCity),五股 (Wugu) (撤銷站),121.4349,25.0833,95m,2009/12/01~2016/07/02,新北市五股區248成泰路二段49巷15號(五股國中校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A680&stname=%25E4%25BA%2594%25E8%2582%25A1&datepicker=,&altitude=95m
新北市 (NewTaipeiCity),林口 (Linkou) (撤銷站),121.3782,25.0763,238m,2009/12/01~2017/01/03,新北市林口區民治路25號(林口國中校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A710&stname=%25E6%259E%2597%25E5%258F%25A3&datepicker=,&altitude=238m
新北市 (NewTaipeiCity),屈尺 (Cyuchih) (撤銷站),121.5463,24.9224,70m,1987/05/01~2018/10/30,新北市新店區屈尺里10鄰屈尺路55號(屈尺國民小學國小校園內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A580&stname=%25E5%25B1%2588%25E5%25B0%25BA&datepicker=,&altitude=70m
新北市 (NewTaipeiCity),大尖山 (Dajianshan) (撤銷站),121.6660,25.0515,326m,1987/05/01~2011/08/12,新北市汐止區勤進路,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A590&stname=%25E5%25A4%25A7%25E5%25B0%2596%25E5%25B1%25B1&datepicker=,&altitude=326m
